chr1	3000000	chr1	3000000	90
chr1	3000000	chr1	4000000	3
chr1	4000000	chr1	4000000	141
chr1	3000000	chr1	5000000	2
chr1	4000000	chr1	5000000	4
chr1	5000000	chr1	5000000	128
chr1	3000000	chr1	6000000	1
chr1	4000000	chr1	6000000	2
chr1	5000000	chr1	6000000	9
chr1	6000000	chr1	6000000	155
chr1	4000000	chr1	7000000	2
chr1	5000000	chr1	7000000	2
chr1	6000000	chr1	7000000	8
chr1	7000000	chr1	7000000	134
chr1	5000000	chr1	8000000	2
chr1	6000000	chr1	8000000	1
chr1	7000000	chr1	8000000	1
chr1	8000000	chr1	8000000	110
chr1	3000000	chr1	9000000	1
chr1	4000000	chr1	9000000	4
chr1	5000000	chr1	9000000	2
chr1	8000000	chr1	9000000	3
chr1	9000000	chr1	9000000	186
chr1	9000000	chr1	10000000	5
chr1	10000000	chr1	10000000	161
chr1	8000000	chr1	11000000	1
chr1	10000000	chr1	11000000	7
chr1	11000000	chr1	11000000	162
chr1	8000000	chr1	12000000	1
chr1	10000000	chr1	12000000	4
chr1	11000000	chr1	12000000	13
chr1	12000000	chr1	12000000	163
chr1	5000000	chr1	13000000	1
chr1	7000000	chr1	13000000	1
chr1	11000000	chr1	13000000	1
chr1	12000000	chr1	13000000	11
chr1	13000000	chr1	13000000	190
chr1	4000000	chr1	14000000	2
chr1	5000000	chr1	14000000	3
chr1	6000000	chr1	14000000	1
chr1	7000000	chr1	14000000	2
chr1	10000000	chr1	14000000	2
chr1	13000000	chr1	14000000	7
chr1	14000000	chr1	14000000	157
chr1	14000000	chr1	15000000	1
chr1	15000000	chr1	15000000	167
chr1	15000000	chr1	16000000	7
chr1	16000000	chr1	16000000	166
chr1	13000000	chr1	17000000	1
chr1	16000000	chr1	17000000	5
chr1	17000000	chr1	17000000	68
chr1	4000000	chr1	18000000	1
chr1	16000000	chr1	18000000	3
chr1	17000000	chr1	18000000	7
chr1	18000000	chr1	18000000	102
chr1	17000000	chr1	19000000	2
chr1	18000000	chr1	19000000	2
chr1	19000000	chr1	19000000	96
chr1	16000000	chr1	20000000	2
chr1	18000000	chr1	20000000	1
chr1	19000000	chr1	20000000	1
chr1	20000000	chr1	20000000	119
chr1	4000000	chr1	21000000	1
chr1	16000000	chr1	21000000	1
chr1	20000000	chr1	21000000	5
chr1	21000000	chr1	21000000	132
chr1	20000000	chr1	22000000	1
chr1	21000000	chr1	22000000	13
chr1	22000000	chr1	22000000	98
chr1	15000000	chr1	23000000	7
chr1	16000000	chr1	23000000	1
chr1	19000000	chr1	23000000	2
chr1	20000000	chr1	23000000	3
chr1	21000000	chr1	23000000	2
chr1	22000000	chr1	23000000	6
chr1	23000000	chr1	23000000	127
chr1	6000000	chr1	24000000	1
chr1	19000000	chr1	24000000	1
chr1	20000000	chr1	24000000	4
chr1	23000000	chr1	24000000	6
chr1	24000000	chr1	24000000	111
chr1	6000000	chr1	25000000	1
chr1	15000000	chr1	25000000	1
chr1	17000000	chr1	25000000	1
chr1	20000000	chr1	25000000	4
chr1	21000000	chr1	25000000	1
chr1	22000000	chr1	25000000	1
chr1	23000000	chr1	25000000	1
chr1	24000000	chr1	25000000	11
chr1	25000000	chr1	25000000	112
chr1	4000000	chr1	26000000	1
chr1	7000000	chr1	26000000	1
chr1	16000000	chr1	26000000	1
chr1	24000000	chr1	26000000	2
chr1	25000000	chr1	26000000	1
chr1	26000000	chr1	26000000	76
chr1	17000000	chr1	27000000	1
